api,lat NAD83,long NAD83
05535160,29.937604,-97.514426
47731152,30.195932,-96.761724
49130489,30.726516,-97.413658
49130490,30.727436,-97.414492
33135112,30.800000,-96.947010
41130170,31.322561,-99.044587
17734462,29.572338,-97.381428
17734466,29.465721,-97.270114
17734463,29.464833,-97.271059
17734464,29.462963,-97.271696
17734465,29.460652,-97.271706
49130491,30.598485,-97.248920
49130492,30.597441,-97.248522
02730143,30.839366,-97.397405
02730144,30.839005,-97.395804
02730145,30.838215,-97.397917
47731191,30.169721,-96.711191
05535165,29.755463,-97.699060
05535166,29.757463,-97.701219
41130172,31.320552,-99.047570
41130171,31.322691,-99.049092
47731193,30.167468,-96.704292
47731192,30.168380,-96.699492
05535167,29.748815,-97.703380
47731194,30.171336,-96.695949
17734466,29.465721,-97.270114
05535170,29.723414,-97.730818
05535169,29.713324,-97.740666
18733471,29.711952,-97.741269
18733682,29.600852,-97.742321
17734467,29.251502,-97.503087
17734468,29.252530,-97.501840
17734469,29.253482,-97.500766
17734470,29.219560,-97.480716
17734471,29.217887,-97.480834
17734472,29.216384,-97.480594
18733694,29.689672,-97.758676
28732760,30.221161,-96.746845
30731214,31.323060,-99.399406
05535168,29.755434,-97.700642
18733693,29.592195,-97.757522
33135114,30.610712,-96.918687
05134366,30.491463,-96.667660
05134367,30.488529,-96.671052
05134359,30.496736,-96.660464
05134360,30.494368,-96.664500
45330387,30.159344,-97.694637
05134361,30.467611,-96.622214
05134362,30.464652,-96.625714
28732761,30.266841,-96.673495
28732762,30.269534,-96.671029
05134363,30.417424,-96.731009
05134364,30.418959,-96.724191
05134365,30.421117,-96.718582
17734474,29.219070,-97.525365
17734475,29.218096,-97.526506
17734476,29.221808,-97.524031
17734473,29.220835,-97.525239
45330388,30.154607,-97.668049
33135115,30.795338,-96.943592
18733696,29.607333,-97.742360
18733695,29.597657,-97.753095
47731195,30.196890,-96.731564
47731196,30.167267,-96.673500
18733630,29.608487,-97.743320
18733697,29.600023,-97.747231
47731199,30.205094,-96.629952
47731198,30.200664,-96.628187
49130493,30.679727,-97.295066
